,0
0,1
1,2
2,3
3,2
4,2
5,3
6,3
7,3
8,3
9,3
10,2
11,1
12,2
13,2
14,2
15,1
16,2
17,2
18,3
19,3
20,2
21,3
22,2
23,3
24,1
25,2
26,3
27,2
28,1
29,1
30,2
31,1
32,3
33,3
34,1
35,3
36,1
37,1
38,2
39,3
40,1
41,3
42,1
43,3
44,1
45,3
46,1
47,2
48,1
49,2
50,2
51,2
52,3
53,2
54,3
55,3
56,2
57,3
58,2
59,1
60,3
61,2
62,2
63,1
64,1
65,2
66,1
67,1
68,1
69,3
70,2
71,1
72,3
73,1
74,2
75,2
76,2
77,3
78,3
79,2
80,3
81,2
82,3
83,3
84,2
85,1
86,1
87,2
88,2
89,3
90,1
91,1
92,1
93,1
94,1
95,3
96,1
97,2
98,2
99,3
100,3
101,3
102,1
103,2
104,2
105,1
106,1
107,3
108,3
109,1
110,2
111,1
112,2
113,2
114,1
115,2
116,3
117,3
118,3
119,2
120,3
121,1
122,1
123,1
124,3
125,3
126,3
127,2
128,1
129,3
130,3
131,2
132,3
133,1
134,2
135,1
136,2
137,2
138,1
139,3
140,2
141,1
142,2
143,2
144,2
145,1
146,3
147,2
148,3
149,3
150,3
151,2
152,2
153,3
154,3
155,3
156,3
157,2
158,3
159,1
160,3
161,3
162,3
163,1
164,3
165,3
166,1
167,2
168,1
169,1
170,3
171,1
172,3
173,2
174,2
175,3
176,3
177,2
178,2
179,3
180,3
181,3
182,3
183,1
184,2
185,2
186,3
187,1
188,3
189,3
190,1
191,2
192,2
193,3
194,2
195,2
196,1
197,1
198,2
199,1
200,2
201,1
202,3
203,1
204,1
205,3
206,3
207,3
208,2
