,0
0,1
1,3
2,2
3,1
4,3
5,3
6,3
7,2
8,3
9,3
10,3
11,2
12,3
13,2
14,2
15,1
16,3
17,3
18,2
19,3
20,3
21,1
22,3
23,3
24,1
25,2
26,3
27,3
28,1
29,1
30,3
31,1
32,3
33,3
34,1
35,3
36,1
37,1
38,2
39,3
40,1
41,2
42,1
43,1
44,1
45,3
46,1
47,3
48,1
49,3
50,2
51,3
52,3
53,3
54,1
55,1
56,2
57,2
58,3
59,1
60,2
61,2
62,1
63,1
64,1
65,3
66,1
67,1
68,1
69,3
70,2
71,1
72,3
73,1
74,3
75,3
76,2
77,2
78,3
79,1
80,2
81,3
82,3
83,3
84,3
85,1
86,1
87,1
88,2
89,3
90,1
91,1
92,1
93,1
94,1
95,2
96,1
97,2
98,2
99,2
100,2
101,3
102,2
103,2
104,2
105,1
106,1
107,3
108,2
109,1
110,3
111,1
112,2
113,3
114,1
115,3
116,3
117,2
118,3
119,3
120,2
121,1
122,1
123,2
124,3
125,2
126,3
127,3
128,1
129,3
130,3
131,3
132,3
133,2
134,2
135,1
136,3
137,1
138,2
139,2
140,3
141,2
142,2
143,3
144,3
145,1
146,3
147,2
148,2
149,1
150,3
151,2
152,2
153,3
154,1
155,2
156,2
157,2
158,3
159,1
160,3
161,3
162,1
163,1
164,3
165,2
166,3
167,2
168,1
169,1
170,2
171,1
172,1
173,2
174,1
175,3
176,3
177,2
178,2
179,3
180,3
181,2
182,3
183,1
184,2
185,3
186,3
187,1
188,2
189,3
190,1
191,2
192,3
193,3
194,2
195,2
196,1
197,3
198,1
199,1
200,3
201,1
202,2
203,1
204,1
205,3
206,2
207,1
208,3
