,0
0,1
1,3
2,2
3,2
4,3
5,3
6,3
7,2
8,3
9,3
10,3
11,2
12,2
13,2
14,2
15,2
16,3
17,3
18,2
19,3
20,2
21,1
22,2
23,2
24,1
25,3
26,3
27,3
28,1
29,1
30,2
31,1
32,3
33,3
34,1
35,3
36,1
37,1
38,3
39,3
40,1
41,2
42,2
43,1
44,1
45,3
46,1
47,3
48,1
49,3
50,3
51,3
52,2
53,3
54,1
55,1
56,3
57,3
58,3
59,2
60,3
61,3
62,2
63,1
64,1
65,3
66,1
67,2
68,1
69,3
70,2
71,1
72,2
73,1
74,3
75,3
76,2
77,3
78,3
79,1
80,3
81,2
82,2
83,2
84,2
85,1
86,2
87,2
88,3
89,3
90,1
91,1
92,1
93,1
94,1
95,2
96,1
97,2
98,2
99,2
100,2
101,3
102,2
103,3
104,2
105,2
106,1
107,3
108,2
109,1
110,3
111,2
112,3
113,3
114,1
115,3
116,2
117,2
118,3
119,2
120,3
121,1
122,1
123,2
124,2
125,2
126,2
127,3
128,1
129,2
130,2
131,2
132,2
133,2
134,2
135,1
136,3
137,1
138,2
139,2
140,2
141,2
142,2
143,3
144,3
145,1
146,3
147,3
148,2
149,1
150,3
151,2
152,2
153,2
154,1
155,2
156,2
157,2
158,2
159,1
160,3
161,3
162,2
163,1
164,2
165,2
166,2
167,2
168,1
169,1
170,3
171,1
172,1
173,2
174,2
175,3
176,3
177,3
178,2
179,2
180,2
181,2
182,2
183,1
184,2
185,3
186,2
187,1
188,2
189,3
190,1
191,3
192,3
193,3
194,2
195,2
196,1
197,3
198,1
199,1
200,2
201,1
202,2
203,1
204,1
205,3
206,3
207,1
208,3
